FID,id,país,organizaci,mapa,código SE,MdV,provisión,flujo,usuarios,xcoord,ycoord,SE,x,y
1,1,Ecuador,Tierra Viva,Tierra Viva,Be_P4,Lm; Ja,"Plantas medicinales como la tuna, flor de jamaica, mosquera, guarango",Crian en los alrededores de los caminos su acceso es facil,200 familias,1501548.664,50962.91419,Recursos medicinales,-78.03609144,0.4554081412
2,2,Ecuador,Tierra Viva,Tierra Viva,Be_P1,Ag; Mg; Ov,"Alimentos como tuna, guandul entre otros",Metodos de cosecha tradicionales,"Ambuqui, San Clemente, 115 familias, 300 ha.",1504837.002,48933.67507,Alimentos,-78.00692582,0.4372392995
3,3,Ecuador,Tierra Viva,Tierra Viva,Be_R5,Ag; Mg; Ov; Lm,Retención de materia organica y microorganismos,Uso de barreras vivas en terrenos con pendientes pronunciadas,"Agricultores, 200 ha.",1503724.29,47384.18743,Prevención de la erosión y mantenimiento de la fertilidad del suelo,-78.01681848,0.4234057266
4,4,Ecuador,Tierra Viva,Tierra Viva,Be_R6,Ag; Mg; Ov,"Obtienen miel, cera, polen y favorece a la polinización de los frutales",Ubicación de cajas de abejas,"10 familias, 4 ha",1504146.201,47322.93045,Polinización,-78.01307424,0.4228539597
5,5,Ecuador,Tierra Viva,Tierra Viva,Be_P1,Ag; Mg; Ov,"Alimentos como tuna, guandul entre otros",Metodos de cosecha tradicionales,"Ambuqui, San Clemente, 115 familias, 300 ha.",1504015.511,47062.54637,Alimentos,-78.01423693,0.4205286556
6,6,Ecuador,Tierra Viva,Tierra Viva,Be_R5,Ag; Mg; Ov; Lm,Retención de materia organica y microorganismos,Uso de barreras vivas en terrenos con pendientes pronunciadas,"Agricultores, 200 ha.",1503382.059,45729.79835,Prevención de la erosión y mantenimiento de la fertilidad del suelo,-78.01987299,0.4086262412
7,7,Ecuador,Tierra Viva,Tierra Viva,Be_R5,Ag; Mg; Ov; Lm,Retención de materia organica y microorganismos,Uso de barreras vivas en terrenos con pendientes pronunciadas,"Agricultores, 200 ha.",1504905.236,45638.88965,Prevención de la erosión y mantenimiento de la fertilidad del suelo,-78.00635433,0.4077985892
8,8,Ecuador,Tierra Viva,Tierra Viva,Be_R5,Ag; Mg; Ov; Lm,Retención de materia organica y microorganismos,Uso de barreras vivas en terrenos con pendientes pronunciadas,"Agricultores, 200 ha.",1504355.221,45095.74794,Prevención de la erosión y mantenimiento de la fertilidad del suelo,-78.01124154,0.4029509115
9,9,Ecuador,Tierra Viva,Tierra Viva,Be_R6,Ag; Mg; Ov,"Obtienen miel, cera, polen y favorece a la polinización de los frutales",Ubicación de cajas de abejas,"10 familias, 4 ha",1503995.569,45073.29429,Polinización,-78.01443399,0.4027538514
10,10,Ecuador,Tierra Viva,Tierra Viva,Be_P1,Ag; Mg; Ov,"Alimentos como tuna, guandul entre otros",Metodos de cosecha tradicionales,"Ambuqui, San Clemente, 115 familias, 300 ha.",1503187.453,45041.5219,Alimentos,-78.02160716,0.4024779672
