pais,paisaje,grupo,cod_ecosistema_y_servicio_Ecosistemico,medio_de_vida_relacionado,elemento_se,accesso,barreras,nr_usuarios,mes_contrib,mes_falta,inclusion,inclusion_descripcion
Ecuador,Ambuqui,Zona Alta,Mi_P1,Borregos; ganaderia; gallinas y cuyes,provisión,Alimentos para los animales,Disminuye debido a la mayor carga animal,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,NA
Ecuador,Ambuqui,Zona Alta,Mi_P1,Borregos; ganaderia; gallinas y cuyes,flujo,Su aprovechamiento se lo realiza de forma directa,Complicado debido a la presencia de menos matorral,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,NA
Ecuador,Ambuqui,Zona Alta,Mi_P1,Borregos; ganaderia; gallinas y cuyes,demanda,Todos los animales necesitan de alimentos,N/A,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,NA
Ecuador,Ambuqui,Zona Alta,Pr_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,provisión,Provee agua para consumo humano; animal y para riego,Disminuye producto del aumento de quemas y talas,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Alta,Pr_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,flujo,Se obtiene mediante tuberias o acequias de las vertientes,Complicado debido a la deficiente infraestructura y falta de mantenimiento a la existente,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Alta,Pr_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,demanda,Aumenta ya que se benefician las personas; animales y cultivos del territorio,N/A,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Alta,Bm_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,provisión,Provee agua para consumo humano; animal y para riego,Disminuye producto del aumento de la sequia y presencia de actividades de deforestacion,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Alta,Bm_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,flujo,Se obtiene mediante tuberias o acequias de las vertientes,Complicado debido a la poca infraestructura de distribución,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Alta,Bm_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,demanda,Aumenta ya que se benefician las personas; animales y cultivos del territorio,N/A,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Media,Be_P1,Aguacate; mango y ovos,provisión,El bosque espinozo provee de alimentos silvestres como la tuna; guandul; pitahaya de monte; entre otros,Disminuye debido al aumento de la frontera agricola; cambio de uso de suelo,115,Ene; Feb; Mar; Abr; May; Jun; Oct; Nov; Dic,Jul; Ago; Sep,Mujeres,Las mujeres son las que se encargan en las actividades de cosecha
Ecuador,Ambuqui,Zona Media,Be_P1,Aguacate; mango y ovos,flujo,Se la obtiene mediante metodos de cosechas tradicionales; dentro de los bosques.,N/A,115,Ene; Feb; Mar; Abr; May; Jun; Oct; Nov; Dic,Jul; Ago; Sep,Mujeres,Las mujeres son las que se encargan en las actividades de cosecha
Ecuador,Ambuqui,Zona Media,Be_P1,Aguacate; mango y ovos,demanda,Aprovechan los pobladores de la zona urbana de Ambuqui y comunidades como San Clemente y los turistas,N/A,115,Ene; Feb; Mar; Abr; May; Jun; Oct; Nov; Dic,Jul; Ago; Sep,Mujeres,Las mujeres son las que se encargan en las actividades de cosecha
